"","player_id","player"
"277",696,"Travis Best"
"278",201976,"Patrick Beverley"
"279",204021,"Sim Bhullar"
"280",76160,"Al Bianchi"
"281",76161,"Hank Biasatti"
"282",76162,"Henry Bibby"
"283",1710,"Mike Bibby"
"284",76163,"Ed Biedenbach"
"285",2740,"Andris Biedrins"
"286",76164,"Don Bielke"
"287",76165,"Bob Bigelow"
"288",1497,"Chauncey Billups"
"289",76166,"Dave Bing"
"290",76167,"Joe Binion"
"291",76168,"Jerry Bird"
"292",1449,"Larry Bird"
"293",76170,"Otis Birdsong"
"294",76171,"Gale Bishop"
"295",202687,"Bismack Biyombo"
"296",202357,"Nemanja Bjelica"
"297",76172,"Uwe Blab"
"298",76173,"Charlie Black"
"299",76174,"Norman Black"
"300",204028,"Tarik Black"
"301",76175,"Tom Black"
"302",76176,"Rolando Blackman"
"303",76180,"Alex Blackwell"
"304",76177,"Cory Blackwell"
"305",1806,"James Blackwell"
"306",76179,"Nate Blackwell"
"307",201971,"DeJuan Blair"
"308",2581,"Steve Blake"
"309",202392,"Marqus Blakely"
"310",200807,"Will Blalock"
"311",76182,"George Blaney"
"312",76183,"Lance Blanks"
"313",76184,"Ricky Blanton"
"314",101154,"Andray Blatche"
"315",302,"Mookie Blaylock"
"316",202339,"Eric Bledsoe"
"317",76186,"Leon Blevins"
"318",76187,"John Block"
"319",76188,"Mike Bloom"
"320",916,"Corie Blount"
"321",1548,"Mark Blount"
"322",203505,"Vander Blue"
"323",76189,"Ray Blume"
"324",76190,"Nelson Bobb"
"325",2800,"Tony Bobbitt"
"326",76191,"Arlen Bockhorn"
"327",76192,"Tom Boerwinkle"
"328",2586,"Keith Bogans"
"329",202711,"Bojan Bogdanovic"
"330",177,"Muggsy Bogues"
"331",101106,"Andrew Bogut"
"332",1564,"Etdrick Bohannon"
"333",76195,"Manute Bol"
"334",76196,"Bill Bolger"
"335",1627762,"Joel Bolomboy"
"336",76197,"Doug Bolstorff"
"337",76203,"George H. Bon Salle"
"338",76198,"Phil Bond"
"339",1603,"Walter Bond"
"340",1121,"Dexter Boney"
"341",76201,"Ron Bonham"
"342",41,"Anthony Bonner"
"343",2588,"Matt Bonner"
"344",1626164,"Devin Booker"
"345",511,"Melvin Booker"
"346",202344,"Trevor Booker"
"347",200767,"Josh Boone"
"348",76204,"Ron Boone"
"349",1916,"Calvin Booth"
"350",1522,"Keith Booth"
"351",76206,"Bob Boozer"
"352",2430,"Carlos Boozer"
"353",2414,"Curtis Borchardt"
"354",76207,"Jake Bornheimer"
"355",1953,"Lazaro Borrell"
"356",76209,"Costic Borsavage"
"357",76210,"Vince Boryla"
"358",2547,"Chris Bosh"
"359",76211,"Jim Bostic"
"360",76212,"Lawrence Boston"
"361",76213,"Tom Boswell"
"362",2257,"Ruben Boumtje-Boumtje"
"363",76214,"Don Boven"
"364",1898,"Cal Bowdler"
"365",1477,"Bruce Bowen"
"366",1763,"Ryan Bowen"
"367",194,"Anthony Bowie"
"368",76217,"Sam Bowie"
"369",1085,"Ira Bowman"
"370",76219,"Nate Bowman"
"371",671,"Donnie Boyce"
"372",76221,"Dennis Boyd"
"373",76222,"Fred Boyd"
"374",76223,"Ken Boyd"
"375",1863,"Earl Boykins"
"376",76224,"Harry Boykoff"
"377",76225,"Winford Boynes"
"378",200841,"Cedric Bozeman"
"379",76226,"Steve Bracey"
"380",202342,"Craig Brackins"
"381",76227,"Gary Bradds"
"382",76228,"Alex Bradley"
"383",76229,"Alonzo Bradley"
"384",202340,"Avery Bradley"
"385",76233,"Bill Bradley"
"386",76230,"Charles Bradley"
"387",76231,"Dudley Bradley"
"388",76232,"Joe Bradley"
"389",2214,"Michael Bradley"
"390",762,"Shawn Bradley"
"391",1361,"Mark Bradtke"
"392",66,"Marques Bragg"
"393",1765,"Torraye Braggs"
"394",1920,"A.J. Bramlett"
"395",76237,"Adrian Branch"
"396",1882,"Elton Brand"
"397",210,"Terrell Brandon"
"398",76238,"Bob Brannum"
"399",76239,"Brad Branson"
"400",76240,"Jesse Branson"
"401",76241,"Jim Brasco"
"402",76242,"Mike Bratz"
"403",76243,"Carl Braun"
"404",160,"Tim Breaux"
"405",2452,"J.R. Bremer"
"406",76245,"Pete Brennan"
"407",76246,"Tom Brennan"
"408",76247,"Randy Breuer"
"409",201147,"Corey Brewer"
"410",2249,"Jamison Brewer"
"411",76248,"Jim Brewer"
"412",76249,"Ron Brewer"
"413",200758,"Ronnie Brewer"
"414",2056,"Primoz Brezec"
"415",76250,"Frank Brian"
"416",783,"Frank Brickowski"
"417",76252,"Junior Bridgeman"
"418",76253,"Bill Bridges"
"419",76254,"Al Brightman"
"420",76255,"Audley Brindley"
"421",76256,"John Brisker"
"422",76257,"Allan Bristow"
"423",76258,"Tyrone Britt"
"424",76259,"Wayman Britt"
"425",76260,"Mike Brittain"
"426",76261,"David Britton"
"427",201972,"Jon Brockman"
"428",76262,"Jim Brogan"
"429",1627763,"Malcolm Brogdon"
"430",76263,"Gary Brokaw"
"431",76264,"Price Brookfield"
"432",201166,"Aaron Brooks"
"433",76265,"Kevin Brooks"
"434",202705,"MarShon Brooks"
"435",76266,"Michael Brooks"
"436",418,"Scott Brooks"
"437",2810,"Andre Brown"
"438",1626148,"Anthony Brown"
"439",76284,"Bob Brown"
"440",201628,"Bobby Brown"
"441",359,"Chucky Brown"
"442",2245,"Damone Brown"
"443",76270,"Darrell Brown"
"444",244,"Dee Brown"
"445",200793,"Dee Brown"
"446",201974,"Derrick Brown"
"447",2484,"Devin Brown"
"448",2081,"Ernest Brown"
"449",76272,"Fred Brown"
"450",76273,"George Brown"
"451",1871,"Gerald Brown"
"452",76275,"Harold Brown"
"453",203913,"Jabari Brown"
"454",1627759,"Jaylen Brown"
"455",76276,"John Brown"
"456",2208,"Kedrick Brown"
"457",2198,"Kwame Brown"
"458",76278,"Leon Brown"
"459",76279,"Lewis Brown"
"460",203485,"Lorenzo Brown"
"461",992,"Marcus Brown"
"462",203900,"Markel Brown"
"463",1479,"Mike Brown"
"464",76277,"Myron Brown"
"465",136,"P.J. Brown"
"466",753,"Randy Brown"
"467",76282,"Raymond Brown"
"468",76283,"Rickey Brown"
"469",76286,"Roger Brown"
"470",200769,"Shannon Brown"
"471",76285,"Stan Brown"
"472",2357,"Tierre Brown"
"473",76268,"Tony Brown"
"474",76287,"Jim Browne"
"475",76288,"Stanley Brundy"
"476",1594,"Rick Brunson"
"477",1627852,"Nicolas Brussino"
"478",76289,"Emmette Bryant"
"479",76290,"Joe Bryant"
"480",977,"Kobe Bryant"
"481",95,"Mark Bryant"
"482",76291,"Wallace Bryant"
"483",76292,"Torgeir Bryn"
"484",76293,"Joe Buckhalter"
"485",76294,"Steve Bucknall"
"486",76295,"Cleveland Buckner"
"487",1761,"Greg Buckner"
"488",76296,"Quinn Buckner"
"489",76297,"Dave Budd"
"490",201978,"Chase Budinger"
"491",76298,"Walter Budko"
"492",146,"Jud Buechler"
"493",1934,"Rodney Buford"
"494",672,"Matt Bullard"
"495",203493,"Reggie Bullock"
"496",76300,"Greg Bunch"
"497",76301,"Dick Bunt"
"498",76302,"Bill Buntin"
"499",76303,"Luther Burden"
"500",2469,"Pat Burke"
"501",203504,"Trey Burke"
"502",76304,"Roger Burkman"
"503",202692,"Alec Burks"
"504",2766,"Antonio Burks"
"505",101207,"Kevin Burleson"
"506",76305,"Tom Burleson"
"507",76306,"Jack Burmaster"
"508",76307,"David Burns"
"509",76308,"Evers Burns"
"510",76309,"Jim Burns"
"511",197,"Scott Burrell"
"512",76311,"Art Burris"
"513",675,"Junior Burrough"
"514",76313,"Bob Burrow"
"515",76314,"Ed Burton"
"516",416,"Willie Burton"
"517",76316,"Steve Burtt"
"518",76317,"Don Buse"
"519",202221,"Brian Butch"
"520",76318,"Donnie Butcher"
"521",76319,"Al Butler"
"522",2406,"Caron Butler"
"523",202364,"Da'Sean Butler"
"524",76320,"Greg Butler"
"525",2866,"Jackie Butler"
"526",202710,"Jimmy Butler"
"527",348,"Mitchell Butler"
"528",2446,"Rasual Butler"
"529",202779,"Dwight Buycks"
"530",201182,"Derrick Byars"
